epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.44,1.2104,2.46773,1.51103,0.64192,0.17101,0.2101,0.11522,1.36463,2.56831,1.73208,0.000465978,0.000465978,0.000465978
2,35.2788,1.26925,2.05868,1.53124,0.56662,0.22242,0.17156,0.08578,1.77587,2.2376,2.17803,0.000926763,0.000926763,0.000926763
3,50.786,1.33501,1.97524,1.57652,0.51629,0.19274,0.14469,0.07156,1.98991,2.27575,2.1672,0.00137183,0.00137183,0.00137183
4,67.2153,1.38433,2.02254,1.60728,0.1763,0.33239,0.16193,0.08413,1.80672,2.5279,2.1265,0.00135826,0.00135826,0.00135826
5,82.6995,1.36559,1.92235,1.60855,0.19969,0.2778,0.22101,0.11471,1.73895,1.92704,2.05848,0.00133469,0.00133469,0.00133469
6,98.725,1.35945,1.83931,1.59068,0.60162,0.33545,0.26157,0.1372,1.59095,1.91373,1.93776,0.00131111,0.00131111,0.00131111
7,114.725,1.29827,1.72492,1.54359,0.5865,0.23148,0.22139,0.12477,1.66183,1.90864,1.95856,0.00128753,0.00128753,0.00128753
8,131.221,1.23993,1.64477,1.5108,0.65447,0.3279,0.26431,0.15111,1.53178,1.72808,1.85358,0.00126395,0.00126395,0.00126395
9,146.947,1.24368,1.609,1.50033,0.54541,0.23675,0.21859,0.11646,1.62867,1.66611,1.92114,0.00124037,0.00124037,0.00124037
10,162.347,1.24427,1.58385,1.49718,0.2426,0.46717,0.24735,0.1465,1.49052,2.0571,1.83,0.00121679,0.00121679,0.00121679
11,178.001,1.22165,1.57042,1.49903,0.59203,0.28013,0.24773,0.14457,1.53145,1.56991,1.82382,0.00119322,0.00119322,0.00119322
12,193.504,1.24194,1.50111,1.49609,0.716,0.32658,0.34101,0.20572,1.47533,1.47599,1.75701,0.00116964,0.00116964,0.00116964
13,210.231,1.2192,1.49605,1.48642,0.70018,0.34753,0.32228,0.19109,1.51549,1.62278,1.83194,0.00114606,0.00114606,0.00114606
14,225.641,1.18585,1.45119,1.44334,0.68898,0.39032,0.38624,0.2436,1.44457,1.33737,1.73605,0.00112248,0.00112248,0.00112248
15,241.508,1.19322,1.44878,1.46383,0.67974,0.35365,0.32596,0.19227,1.44954,1.44191,1.75376,0.0010989,0.0010989,0.0010989
16,257.416,1.1942,1.34369,1.44386,0.73332,0.33869,0.3446,0.21358,1.4847,1.29883,1.78336,0.00107532,0.00107532,0.00107532
17,274.164,1.14531,1.36463,1.41576,0.77909,0.38369,0.39784,0.26348,1.35521,1.27495,1.69193,0.00105174,0.00105174,0.00105174
18,290.07,1.15049,1.35244,1.4345,0.77932,0.31036,0.36086,0.23525,1.36458,1.24634,1.66133,0.00102817,0.00102817,0.00102817
19,305.764,1.13675,1.29637,1.40244,0.74599,0.37774,0.39902,0.25334,1.40784,1.21185,1.71683,0.00100459,0.00100459,0.00100459
20,321.235,1.15266,1.37137,1.43543,0.67268,0.36971,0.38272,0.24905,1.38872,1.21737,1.68803,0.000981008,0.000981008,0.000981008
21,337.151,1.12013,1.26941,1.40703,0.6746,0.3421,0.34566,0.21848,1.37569,1.37051,1.69123,0.00095743,0.00095743,0.00095743
